"Date","Commercial Banks & NFIs - Regulatory Capital to Risk-Weighted Assets (%)","Commercial Banks & NFIs - Regulatory Tier I Capital-to-Risk-Weighted Assets (%)","Commercial Banks & NFIs - Regulatory Tier II Capital-to-Risk-Weighted Assets (%)","Commercial Banks & NFIs - Regulatory Capital-to-Total Assets (%)","Commercial Banks & NFIs - Net Open Position in Foreign Exchange-to-Capital (%)","Commercial Banks & NFIs - Non-Performing Loans-to-Gross Loans (%)","Commercial Banks & NFIs - Non-Performing Loans (Net of Provisions)-to-Capital (%)","Commercial Banks & NFIs - Total Provisions-to-Impaired Loans (%)","Commercial Banks & NFIs - Specific Provisions-to-Impaired Loans (%)","Commercial Banks & NFIs - General Provisions-to-Gross Loans (%)","Commercial Banks & NFIs - Specific Provisions-to-Gross Loans (%)","Commercial Banks & NFIs - Return on Assets (%)","Commercial Banks & NFIs - Return on Equity (%)","Commercial Banks & NFIs - Interest Margin-to-Gross Income (%)","Commercial Banks & NFIs - Non-interest Income-to-Gross Income (%)","Commercial Banks & NFIs - Non-interest Expenses-to-Gross Income (%)","Commercial Banks & NFIs - Liquid Assets-to-Total Assets (%)","Commercial Banks & NFIs - Liquid Assets-to-Total Short-Term Liabilities (%)","Commercial Banks & NFIs - Customer Deposits-to-Total (Non-Interbank) Loans (%)","Commercial Banks & NFIs - Foreign Currency Liabilities-to-Total Liabilities (%)"
"Mar-2006","n.d","n.d","n.d","0","24.2","2.9","5.4","58.4","38.7","0.6","1.1","3.1","22.3","60.6","39.4","56.4","15.6","22.1","126.3","42.4"
"Dec-2005","n.d","n.d","n.d","n.d","-12","2.7","4.6","65.5","46.1","0.5","1.3","1.6","11.2","52.6","47.4","56.5","13.7","19.3","118.7","42.8"
"Sep-2005","n.d","n.d","n.d","n.d","17.8","2.1","2.5","86.6","59.3","0.6","1.3","0.6","4","68.2","31.8","72.2","14.5","20.6","122.7","43.3"
"Jun-2005","n.d","n.d","n.d","n.d","-9.4","2.9","4.5","66.1","45.1","0.6","1.3","0","0.3","51.8","48.2","14.7","14.2","19.9","126.2","41.7"
"Mar-2005","n.d","n.d","n.d","n.d","29.3","2.7","3.8","74","48.5","0.7","1.3","n.d","n.d","n.d","n.d","n.d","14.3","20","130","43.4"
"Dec-2004","n.d","n.d","n.d","n.d","29.8","3.7","5.8","55.8","39.5","0.6","1.5","n.d","n.d","n.d","n.d","n.d","13","18.4","129.1","43.7"
"Sep-2004","n.d","n.d","n.d","n.d","24.7","2.5","2.3","86.2","61.9","0.6","1.5","n.d","n.d","n.d","n.d","n.d","12.9","19","123.9","43.3"
"Jun-2004","n.d","n.d","n.d","n.d","29.1","2.5","2.4","91.1","63.8","0.7","1.6","n.d","n.d","n.d","n.d","n.d","15.8","22.8","134.7","42.9"
"Mar-2004","n.d","n.d","n.d","n.d","38.3","2.9","3.5","77.6","54","0.7","1.6","n.d","n.d","n.d","n.d","n.d","16.6","24.1","139.3","44.2"
"Dec-2003","n.d","n.d","n.d","n.d","40.9","2.7","2","93.8","73","0.6","2","n.d","n.d","n.d","n.d","n.d","15.1","21.9","133.5","36.8"
"Sep-2003","n.d","n.d","n.d","n.d","34.5","3.1","3.9","85.7","53.7","1","1.7","n.d","n.d","n.d","n.d","n.d","15.7","22.9","135.8","33.6"
"Jun-2003","n.d","n.d","n.d","n.d","42.9","3.6","4.8","86.9","50.8","1.3","1.8","n.d","n.d","n.d","n.d","n.d","18.4","26.6","143.2","38.2"
"Mar-2003","n.d","n.d","n.d","n.d","-1.4","3.3","2.1","116.7","77.3","1.3","2.6","n.d","n.d","n.d","n.d","n.d","15.4","22.6","136.7","37.4"
"Dec-2002","n.d","n.d","n.d","n.d","33","3.6","4.5","90.1","57.1","1.2","2.1","n.d","n.d","n.d","n.d","n.d","15.9","23.2","139.2","36.4"
"Sep-2002","n.d","n.d","n.d","n.d","-2.1","3.5","4.5","90.5","55.6","1.2","1.9","n.d","n.d","n.d","n.d","n.d","14.1","20.8","138.9","35.1"
"Jun-2002","n.d","n.d","n.d","n.d","-3.1","3.9","5.9","80.3","50.1","1.2","2","n.d","n.d","n.d","n.d","n.d","15.3","22.2","141.1","34.7"
"Mar-2002","n.d","n.d","n.d","n.d","7.2","3.8","6.3","83.8","46.2","1.4","1.7","n.d","n.d","n.d","n.d","n.d","15.6","22.6","143.7","34.9"
"Dec-2001","n.d","n.d","n.d","n.d","5.5","3.4","5.7","80.9","47.5","1.1","1.6","n.d","n.d","n.d","n.d","n.d","15.9","22.6","145.1","34.2"
"Sep-2001","n.d","n.d","n.d","n.d","1.6","3","5.1","86.5","47.5","1.2","1.4","n.d","n.d","n.d","n.d","n.d","16.3","23.4","138.6","34.4"
"Jun-2001","n.d","n.d","n.d","n.d","-0.8","3.2","6.4","76.8","42.9","1.1","1.4","n.d","n.d","n.d","n.d","n.d","14.6","21","127.7","35.4"
"Mar-2001","n.d","n.d","n.d","n.d","-0.3","3","5.3","85.3","47.8","1.1","1.4","n.d","n.d","n.d","n.d","n.d","17","24.5","132.8","33.2"
"Dec-2000","n.d","n.d","n.d","n.d","2.7","3.8","7.7","69.6","39.9","1.1","1.5","n.d","n.d","n.d","n.d","n.d","16.5","23.8","137.3","31.7"
"Sep-2000","n.d","n.d","n.d","n.d","0","4.3","9.3","56.6","39","0.8","1.7","n.d","n.d","n.d","n.d","n.d","14","20.3","132.4","30.1"
"Jun-2000","n.d","n.d","n.d","n.d","n.d","4.9","11.9","52.6","34.9","0.9","1.7","n.d","n.d","n.d","n.d","n.d","14.9","21.5","134.6","31.2"
"Mar-2000","n.d","n.d","n.d","n.d","n.d","4.7","12.3","53.3","33.9","0.9","1.6","n.d","n.d","n.d","n.d","n.d","15.2","21.6","137.2","29"
"Dec-1999","n.d","n.d","n.d","n.d","n.d","4.7","12","54.9","35.9","0.9","1.7","n.d","n.d","n.d","n.d","n.d","15.9","22.5","141.1","30.4"
"Sep-1999","n.d","n.d","n.d","n.d","n.d","4.5","11.5","58.5","37.7","0.9","1.7","n.d","n.d","n.d","n.d","n.d","16.5","22.7","142.3","27.8"
"Jun-1999","n.d","n.d","n.d","n.d","n.d","4.7","12.6","55.6","39.2","0.8","1.9","n.d","n.d","n.d","n.d","n.d","16.4","22.4","143","28.1"
"Mar-1999","n.d","n.d","n.d","n.d","n.d","5","13.1","54.1","39.5","0.7","2","n.d","n.d","n.d","n.d","n.d","15.9","22","142","27.3"
"Dec-1998","n.d","n.d","n.d","n.d","n.d","5.4","15","49.3","36.4","0.7","2","n.d","n.d","n.d","n.d","n.d","15.2","20.7","142.7","27.5"
"Sep-1998","n.d","n.d","n.d","n.d","n.d","5.6","16","49.4","34.9","0.8","2","n.d","n.d","n.d","n.d","n.d","15.3","20.4","145.4","27.4"
"Jun-1998","n.d","n.d","n.d","n.d","n.d","6","16.6","50.9","36.6","0.9","2.2","n.d","n.d","n.d","n.d","n.d","15.9","21.3","148.6","27.9"
"Mar-1998","n.d","n.d","n.d","n.d","n.d","6.4","18","49.6","35.7","0.9","2.3","n.d","n.d","n.d","n.d","n.d","14.6","18.8","143.9","24.1"
"Dec-1997","n.d","n.d","n.d","n.d","n.d","6.3","18.1","48.8","36","0.8","2.3","n.d","n.d","n.d","n.d","n.d","13.9","17.8","138.8","24.8"
"Sep-1997","n.d","n.d","n.d","n.d","n.d","6.3","13.3","52","39.5","0.8","2.5","n.d","n.d","n.d","n.d","n.d","14.1","18.7","152.4","22.9"
"Jun-1997","n.d","n.d","n.d","n.d","n.d","6.9","18.9","47.8","39.1","0.6","2.7","n.d","n.d","n.d","n.d","n.d","14.6","18.9","153.5","20.6"
